ID Stazione,Località,Tipo Merce,Data,Quantità,Unità,Importo Netto SENZA Sconto (IVA escl.),Importo Netto dello Sconto (IVA escl.)
1400103,San Mauro Pascoli,0006 GPL (LPG),22.03.2025,39.43,L,23.24,0.39
1400103,San Mauro Pascoli,0006 GPL (LPG),28.03.2025,29.52,L,17.39,0.3
1400103,San Mauro Pascoli,0009 GASOLIO,16.03.2025,31.77,L,42.68,0.32
1400103,San Mauro Pascoli,0009 GASOLIO,17.03.2025,67.37,L,90.51,0.67
1400103,San Mauro Pascoli,0009 GASOLIO,17.03.2025,41.92,L,56.32,0.42
1400103,San Mauro Pascoli,0009 GASOLIO,17.03.2025,18.92,L,25.42,0.19
1400103,San Mauro Pascoli,0009 GASOLIO,17.03.2025,54.61,L,73.37,0.55
1400103,San Mauro Pascoli,0009 GASOLIO,17.03.2025,30.01,L,40.32,0.3
1400103,San Mauro Pascoli,0009 GASOLIO,18.03.2025,45.87,L,61.62,0.46
1400103,San Mauro Pascoli,0009 GASOLIO,18.03.2025,122.03,L,163.94,1.22
1400103,San Mauro Pascoli,0009 GASOLIO,18.03.2025,50.64,L,68.03,0.51
1400103,San Mauro Pascoli,0009 GASOLIO,18.03.2025,43.33,L,58.21,0.43
1400103,San Mauro Pascoli,0009 GASOLIO,18.03.2025,47.33,L,63.58,0.47
1400103,San Mauro Pascoli,0009 GASOLIO,18.03.2025,44.54,L,59.84,0.45
1400103,San Mauro Pascoli,0009 GASOLIO,19.03.2025,89.41,L,120.11,0.89
1400103,San Mauro Pascoli,0009 GASOLIO,19.03.2025,50.1,L,67.3,0.5
1400103,San Mauro Pascoli,0009 GASOLIO,19.03.2025,41.32,L,55.51,0.41
1400103,San Mauro Pascoli,0009 GASOLIO,19.03.2025,42.71,L,57.38,0.43
1400103,San Mauro Pascoli,0009 GASOLIO,19.03.2025,18.3,L,24.58,0.18
1400103,San Mauro Pascoli,0009 GASOLIO,19.03.2025,106.92,L,143.64,1.07
1400103,San Mauro Pascoli,0009 GASOLIO,19.03.2025,33.57,L,45.1,0.34
1400103,San Mauro Pascoli,0009 GASOLIO,19.03.2025,25.6,L,34.39,0.26
1400103,San Mauro Pascoli,0009 GASOLIO,19.03.2025,18.32,L,24.61,0.18
1400103,San Mauro Pascoli,0009 GASOLIO,20.03.2025,59.18,L,79.51,0.59
1400103,San Mauro Pascoli,0009 GASOLIO,20.03.2025,38.18,L,51.3,0.38
1400103,San Mauro Pascoli,0009 GASOLIO,20.03.2025,24.53,L,32.95,0.25
1400103,San Mauro Pascoli,0009 GASOLIO,20.03.2025,275.09,L,369.57,2.75
1400103,San Mauro Pascoli,0009 GASOLIO,20.03.2025,50.03,L,67.21,0.5
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,83.04,L,110.88,0.83
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,49.13,L,65.6,0.49
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,15.37,L,20.52,0.15
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,40.53,L,54.11,0.41
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,30.71,L,41.01,0.31
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,36.87,L,49.23,0.37
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,73.0,L,97.48,0.73
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,19.07,L,25.47,0.19
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,50.95,L,68.03,0.51
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,40.97,L,54.7,0.41
1400103,San Mauro Pascoli,0009 GASOLIO,21.03.2025,36.22,L,48.36,0.36
1400103,San Mauro Pascoli,0009 GASOLIO,22.03.2025,49.05,L,65.49,0.49
1400103,San Mauro Pascoli,0009 GASOLIO,23.03.2025,42.31,L,56.49,0.42
1400103,San Mauro Pascoli,0009 GASOLIO,23.03.2025,43.76,L,58.43,0.44
1400103,San Mauro Pascoli,0009 GASOLIO,23.03.2025,18.41,L,24.58,0.18
1400103,San Mauro Pascoli,0009 GASOLIO,23.03.2025,39.15,L,52.28,0.39
1400103,San Mauro Pascoli,0009 GASOLIO,23.03.2025,49.91,L,66.64,0.5
